E:\IMG\center_2020_04_05_10_38_32_813.jpg, E:\IMG\left_2020_04_05_10_38_32_813.jpg, E:\IMG\right_2020_04_05_10_38_32_813.jpg, 0, 0, 0, 2.191217E-05
E:\IMG\center_2020_04_05_10_38_32_915.jpg, E:\IMG\left_2020_04_05_10_38_32_915.jpg, E:\IMG\right_2020_04_05_10_38_32_915.jpg, 0, 0, 0, 2.175142E-05
E:\IMG\center_2020_04_05_10_38_33_017.jpg, E:\IMG\left_2020_04_05_10_38_33_017.jpg, E:\IMG\right_2020_04_05_10_38_33_017.jpg, 0, 0, 0, 2.170971E-05
E:\IMG\center_2020_04_05_10_38_33_119.jpg, E:\IMG\left_2020_04_05_10_38_33_119.jpg, E:\IMG\right_2020_04_05_10_38_33_119.jpg, 0, 0, 0, 2.249497E-05
E:\IMG\center_2020_04_05_10_38_33_220.jpg, E:\IMG\left_2020_04_05_10_38_33_220.jpg, E:\IMG\right_2020_04_05_10_38_33_220.jpg, 0, 0, 0, 2.40313E-05
E:\IMG\center_2020_04_05_10_38_33_320.jpg, E:\IMG\left_2020_04_05_10_38_33_320.jpg, E:\IMG\right_2020_04_05_10_38_33_320.jpg, 0, 0, 0, 2.32388E-05
E:\IMG\center_2020_04_05_10_38_33_423.jpg, E:\IMG\left_2020_04_05_10_38_33_423.jpg, E:\IMG\right_2020_04_05_10_38_33_423.jpg, 0, 0, 0, 2.327562E-05
E:\IMG\center_2020_04_05_10_38_33_526.jpg, E:\IMG\left_2020_04_05_10_38_33_526.jpg, E:\IMG\right_2020_04_05_10_38_33_526.jpg, 0, 0, 0, 2.255641E-05
E:\IMG\center_2020_04_05_10_38_33_629.jpg, E:\IMG\left_2020_04_05_10_38_33_629.jpg, E:\IMG\right_2020_04_05_10_38_33_629.jpg, 0, 0, 0, 2.200799E-05
E:\IMG\center_2020_04_05_10_38_33_729.jpg, E:\IMG\left_2020_04_05_10_38_33_729.jpg, E:\IMG\right_2020_04_05_10_38_33_729.jpg, 0, 0, 0, 2.172101E-05
